,id,p_type,s_name,s_area_name,post_time,title,author,content,page_url
408,1452049334253_N01,news,yahoo股市,重大要聞,2016/1/6 10:37:00,焦點類股：陸客中轉題材及油價下跌激勵，華航(2610)、長榮航(2618)股價飛翔,財訊快報,受惠中國國台辦宣布開放重慶、南昌和昆明三個城市，做為陸客中轉桃園機場的首批試點城市，加上紐約原油及布蘭特原油昨(5)日報價跌幅都超過2%，在油價下滑，有利成本節省以及陸客中轉商機可望挹注業績下，航空雙雄華航(2610)、長榮航(2618)今(6)日盤中股價展翅飛翔，相對逆勢抗跌；華航及長榮航今年也積極布局北美航線。<BR> 法人表示，中國大陸一年出國旅遊人口約有1億人次，而來台旅遊僅400萬人，開放陸客來台中轉後，未來想像空間滿大，儘管旺季時可能看不出來，不過淡季時，對於業績將有明顯挹注，加上中國二、三線城市的國際航網較不方便，陸客中轉後，可讓二、三線城市的旅客來台後再銜接到東南亞、北美等地區。法人預期，最大的業績挹注可望是中轉飛北美地區。<BR> 華航北美現飛美國洛杉磯、舊金山、紐約、檀香山、關島及加拿大溫哥華共6航點每周42班，加上紐約、溫哥華將陸續增班，今年飛航北美最多達每周50班。華航東南亞飛航香港、曼谷等共16航點每周284班。至於華航紐澳飛航澳洲雪梨、布里斯本、墨爾本及紐西蘭奧克蘭、基督城共5航點每周28班。<BR> 至於長榮航空因應新機擴增計畫，長榮航今年除預計開闢桃園－伊士坦堡等新航線，方便旅客赴中東及轉機至歐洲等外，北美航線今年也將擴增至每周77班，其中紐約將於今年7月擴增至每日2班飛機；休士頓也將由每周4班擴增至每周6班；而舊金山也將由每日2班擴增至3班；至於北美新航點部分，目前評估最快今年第四季或明年第一季將新增芝加哥航點，未來也評估將新開華盛頓DC及波士頓等航點。而北美目標是希望2022年北美航班每周能達100班。<BR> 至於歐洲方面，除今年3月將開航土耳其伊斯坦堡，搶攻中東旅遊商機外，也可望搶下更多中轉歐洲大餅。此外，除既有的倫敦、巴黎等航點外，長榮航也評估未來開闢義大利米蘭及西班牙巴塞隆納等新據點。,https://tw.stock.yahoo.com/news_content/url/d/a/20160106/%E7%84%A6%E9%BB%9E%E9%A1%9E%E8%82%A1-%E9%99%B8%E5%AE%A2%E4%B8%AD%E8%BD%89%E9%A1%8C%E6%9D%90%E5%8F%8A%E6%B2%B9%E5%83%B9%E4%B8%8B%E8%B7%8C%E6%BF%80%E5%8B%B5-%E8%8F%AF%E8%88%AA-2610-%E9%95%B7%E6%A6%AE%E8%88%AA-023734394.html
763,1452323811664_N01,news,yahoo股市,重大要聞,2016/1/9 15:00:00,《類股》油價續跌＋陸客中轉，華航、長榮航今年獲利高飛,時報資訊,"國際油價持續下跌，加上北京方面宣布試辦陸客來台中轉，法人預估2016年華航 （2610） EPS可以從2015年的1.35元提高到1.82元，增幅35％，長榮航 （2618） 可以從2.04元提高到2.45元，增幅20％。華航高階則指出，今年公司最大的利基還是來自油價與機隊的更新。 <BR> 對於2016年原油均價，法人預估2016年西德州原油均價每桶約43美元，較2015年的49美元要再下滑約11％。以華航一年用油約1,700萬桶計算，航空燃油每桶波動每桶10美元時，對於華航全年EPS影響數約0.84元，長榮航一年用油約1,300萬桶，全年EPS影響數約1.04元。<BR> 華航指出，2015年全年航空燃油均價是64.69美元，較2014年的112.50美元，下跌42.50％，第四季航空燃油均價是每桶54.72元，今年1月基準價是47.66美元，目前現貨市場售價僅有37.71美元。 <BR> 在陸客中轉部分，法人估商機主要在華中、華南地區的二、三城市，就航線來看，台灣航空業者在東南亞航線有機會取得香港機場轉機旅客的市占率。 <BR> 但因競爭過於激烈，中轉效益有限，因此北美航線將會受益最大。 <BR> 2014年中國大陸赴北美遊客人數約270萬人次，其中六成以上的旅客是透過日本東京、韓國仁川和香港機場轉機至北美。保守預估陸客中轉全面開放後，台灣有機會搶食20％陸客中轉市占率，吸引30萬人次來台轉機。以台灣－美加航線市占率計算，華航約34％，長榮航約53％。 <BR> 華航高階指出，去年年底公司做今年預算時，當時北京還未宣布試辦陸客來台中轉，公司就以估計今年獲利可以提升，主要是因為機隊持續更新，經濟效益會更好；另今年油價估計比去年低，加上公司轉投資的台灣虎航估計本月內第八架客機交機營運後，估計今年可以開始有獲利，都是影響因素。 <BR> 至於陸客中轉，目前僅是試辦性質，這次開放的城市中，重慶有2,900萬人口，南昌與昆明各約6百多萬人口，由於華航飛的是南昌，聯營對象東方航空飛昆明，而長榮航與聯營對象飛的是重慶，第一階段比較有利基的是長榮航，但公司會全力開發轉機業務，除了有聯營的東航，也已開始與飛昆明的四川航空洽談合作事宜。 （新聞來源：工商時報─記者張佩芬╱台北報導）",https://tw.stock.yahoo.com/news_content/url/d/a/20160109/%E9%A1%9E%E8%82%A1-%E6%B2%B9%E5%83%B9%E7%BA%8C%E8%B7%8C-%E9%99%B8%E5%AE%A2%E4%B8%AD%E8%BD%89-%E8%8F%AF%E8%88%AA-%E9%95%B7%E6%A6%AE%E8%88%AA%E4%BB%8A%E5%B9%B4%E7%8D%B2%E5%88%A9%E9%AB%98%E9%A3%9B-070011194.html
896,1452508310613_N01,news,yahoo股市,重大要聞,2016/1/11 18:05:00,華航：燃油避險未實現損失不到3億元,鉅亨網,鉅亨網記者王莞甯 台北華航今(11)日公布12月合併營收117.39億元，月增3.34%、年減9.57%，全年合併營收達1450.4億元，年減3.2%，仍創歷史第3高，華航也說明，去(2015)年油料避險已實現損失金額26億元，燃油避險未實現損失2.88億元，占淨值比僅0.49%，依法無須另做重大訊息公告。<BR>華航指出，去年油料避險已實現損失金額為26億元，至12月新加坡航空燃油平均價格為47.66美元/桶，月跌9.8美元/桶，跌幅約17.05%，年跌約39.17%。<BR>另一方面，針對衍生性金融商品，華航說明，基於穩定成本和降低油價波動對盈餘影響的考量，依風險委員會決議建立避險部位。去(2015)年下半年因油價下跌放緩避險的承作，目前避險部位不到10%，油料衍生性金融商品的水位較低，受到油價下跌的衝擊較小。<BR>去年MOPS(新加坡航油)平均油價每桶64.69美元，較2014年的平均每桶112.5美元，跌幅約42%。華航表示，目前燃油占成本約30%，已較油價高點時占比40-50%明顯下降。<BR>華航認為，今年油價可望維持低檔，引用EIA(美國能源資訊局)去年12月報告，2016年全球原油供需盈餘情況持續，本月報告下修價格預估，布藍特原油為55.78美元/桶、西德州原油為50.89美元/桶。<BR>另外，華航說明，12月合併營收中，客運收入77.71億元，年減3.42%，主因為燃油附加費調降所致，實際上包括澳洲、越洋、東北亞旅運量旺季持續成長；貨運收入31.25億元，年減21.88%，則是受全球經濟景氣欠佳和燃油附加費下調影響，再加上2014年底美西塞港效益墊高基期。,https://tw.stock.yahoo.com/news_content/url/d/a/20160111/%E8%8F%AF%E8%88%AA-%E7%87%83%E6%B2%B9%E9%81%BF%E9%9A%AA%E6%9C%AA%E5%AF%A6%E7%8F%BE%E6%90%8D%E5%A4%B1%E4%B8%8D%E5%88%B03%E5%84%84%E5%85%83-100558295.html
1153,1452730941527_N01,news,yahoo股市,重大要聞,2016/1/14 08:00:00,財訊快報：華航今年客運量看增7%、貨運量年增1%，法人正面看待與陽明海空同盟,財訊快報,隨著近期國際油價下滑以及陸客中轉題材，法人估華航(2610)今年客運量年增7%，貨運量年增1%，在國際油價處於低檔下，法人估計華航今年每股盈餘有機會上看1.21元，看好受惠低油價使獲利上揚，加上具陸客中轉題材具投資吸引力，因此喊「買進」。<BR> 華航今年計畫引進4架A350及2架B777客機，新機除汰舊換新也將持續拓展航點業務，而新機將擴大佈局歐美航線，華航目前亞洲線約占70%，歐美線約占30%，其中陸客中轉短期具題材性，而中長期方面，華航除也將因新機加大佈局使得北美線可望受惠。法人估華航今年客運量可成長7%，而華航貨運將受惠與陽明(2609)籌組海空同盟所帶來效益，保守估計貨運量將成長1%。<BR> 華航去年合併營收1450.4億元，年減3.2%；而去年1-12月油料避險已實現損失金額為6億元。華航指出，去年下半年考量油價下跌，放緩避險的承作，目前避險部位不到10%，油料衍生性金融商品的水位較低，受到油價下跌的衝擊也較小，相對潛在性的損失較小。華航2015年燃油避險未實現損失2.88億元，占淨值比僅0.49%；華航指出。目前燃油占成本約三成，已較油價高點時占比四到五成下降。,https://tw.stock.yahoo.com/news_content/url/d/a/20160114/%E8%B2%A1%E8%A8%8A%E5%BF%AB%E5%A0%B1-%E8%8F%AF%E8%88%AA%E4%BB%8A%E5%B9%B4%E5%AE%A2%E9%81%8B%E9%87%8F%E7%9C%8B%E5%A2%9E7-%E8%B2%A8%E9%81%8B%E9%87%8F%E5%B9%B4%E5%A2%9E1-%E6%B3%95%E4%BA%BA%E6%AD%A3%E9%9D%A2%E7%9C%8B%E5%BE%85%E8%88%87%E9%99%BD%E6%98%8E%E6%B5%B7%E7%A9%BA%E5%90%8C%E7%9B%9F-000057884.html
11551,1463099476676_N01,news,yahoo股市,重大要聞,2016/5/13 08:00:00,財訊快報：陸客縮減，華航、長榮航縮減部分航班，並機動採大飛機改小飛機因應,財訊快報,陸客來台近期明顯縮減，航空雙雄包括華航(2610)、長榮航(2618)坦言確實有感受到陸客縮減，而華航及長榮航在夏季班表上部分二線城市已停飛或縮減航班，部分航線也採大飛機改為較小的航班飛行；航空業者表示，後續效應仍將視準總統蔡英文520的演講內容以及上任後兩岸互動觀察。此外，華航昨(12)日舉行重現超級任務圓夢之旅活動，將協助乘客鍾老先生尋找兒時店。<BR> 華航表示，隨著陸客人數縮減，已陸續將中國二線城市班機由大飛機改為較小的飛機，包括徐州、溫州、寧波等地每周也有縮減，而目前小班機的平均載客率也約有70%。至於陸客營收佔華航集團總營收約3%。<BR> 華航強調，雖然陸客來台縮減而有縮班情形，不過已將多餘的運力轉到紐約、溫哥華、法蘭克福等地，以減少衝擊，加上暑假旺季即將到來，華航也將推出增班峇厘島等因應方式，因此兩岸減班的衝擊目前看來影響有限。<BR> 除了陸客縮減外，華航坦言東北亞市場受到廉價航空(LCC)影響，目前票價約較去年同期減少約5%。不過華航也強調，一般商務客並不受到LCC影響，但華航針對LCC也將會有因應的新產品推出。<BR> 此外，華航昨日舉行重現超級任務圓夢之旅活動，由於華航於2015年10月推出「Party In The Air！商務艙我包 趴踢你來揪」活動，祭出價值超過百萬的獨享商務艙大獎，今年5月第3組得獎人，決定利用此中獎機會與親友共30人，一同搭乘華航班機前往東京為鍾老先生展開一段尋根圓夢之旅。<BR> 今年86歲的鍾老先生出生於東京，從小家人在日本經營中華料理餐館–「洪來軒」，然而7歲時適逢戰亂返回上海老家，最後輾轉來到臺灣定居生活，長大之後雖然曾在親友陪同下赴日尋找兒時生活的地方，卻因沒有任何資訊遍尋不著，去年因緣際會下，家中意外發現一張20多年前日本街景的舊照片，同時家人幸運地抽中華航獨享商務艙大獎，全家人決定利用此次機會赴日尋夢，期盼能順利找到當時的場景達成心願。,https://tw.stock.yahoo.com/news_content/url/d/a/20160513/%E8%B2%A1%E8%A8%8A%E5%BF%AB%E5%A0%B1-%E9%99%B8%E5%AE%A2%E7%B8%AE%E6%B8%9B-%E8%8F%AF%E8%88%AA-%E9%95%B7%E6%A6%AE%E8%88%AA%E7%B8%AE%E6%B8%9B%E9%83%A8%E5%88%86%E8%88%AA%E7%8F%AD-%E4%B8%A6%E6%A9%9F%E5%8B%95%E6%8E%A1%E5%A4%A7%E9%A3%9B%E6%A9%9F%E6%94%B9%E5%B0%8F%E9%A3%9B%E6%A9%9F%E5%9B%A0%E6%87%89-000035593.html
15075,1466554263487_N01,news,yahoo股市,重大要聞,2016/6/22 07:40:00,經濟頭條~華航面臨罷工危機,中央社,"桃園市空服員職業工會昨（21）日深夜通過華航空服員罷工投票案，這是國內空服員首次取得合法罷工權，華航空服員計劃在暑假罷工，華航總經理張有?琱竣攳舅W第一線溝通，希望化解迫在眉睫的罷工危機。<BR>在昨天投票中，2,638名華航會員中，逾九成同意罷工，超過法定五成門檻，華航空服員57年來首度取得罷工權，華航對此結果表示「尊重但遺憾」。<BR>桃園市職業工會秘書長林佳瑋說，目前已選定在暑假罷工，但關於罷工日期、罷工多久仍待工會討論，強調「屆時一定會提前讓旅客知道。」~經濟日報2016年6 月22日頭版頭條",https://tw.stock.yahoo.com/news_content/url/d/a/20160621/%E7%B6%93%E6%BF%9F%E9%A0%AD%E6%A2%9D-%E8%8F%AF%E8%88%AA%E9%9D%A2%E8%87%A8%E7%BD%B7%E5%B7%A5%E5%8D%B1%E6%A9%9F-234053173.html
15088,1466556056195_N01,news,yahoo股市,重大要聞,2016/6/22 08:25:00,"【Y早報】空服員取得罷工權,華航面臨罷工危機",Yahoo奇摩股市,"（開盤日9:00出刊）擔憂週四英國脫歐公投結果,道瓊收高24點；日圓強升,帶動台工具機訂單增加；鴻海(2317)今日召開股東會,日本媒體擠破頭<BR>平均得分：6分<BR>綜合評析：逼近英國脫歐公投,市場謹慎以對<BR>國際股市：6分<BR>1. 脫歐公投在即,投資人觀望,道瓊收高24.8點<BR>2. 6月份經濟信心指數優於上月,德股上漲53.5點<BR>3. 擔憂英脫歐公投結果,滬指收跌0.35%<BR>未來的變數：<BR>1. 美原油庫存量是否下滑<BR>2. 6月23日英脫歐公投結果<BR>籌碼變化：6分<BR>外資投信同步加碼：萬潤<BR>外資投信同步賣超：東洋<BR>(註：以各項排名前十名做篩選)<BR>1. 外資: + 78.1億<BR>2. 投信: + 2.4 億<BR>3. 官股券商 – 17.36 億 連 3 賣<BR>4. 外資期指 淨留倉 + 5.42 萬口 減少<BR>5. 融資餘額: - 3.24 億(店頭市場 – 0.43 億)<BR>6. 融券餘額: - 4557 張<BR>技術面訊號：6分<BR>1. 加權市場成交金額 705億，量增<BR>2. 加權指數 + 58.9 點，收 8684點<BR>3. 下檔支撐：8350-8400<BR>4. 上檔反壓：8700-8720<BR>5. KD值 51.9，上移<BR>6. RSI 值 66.4，上移<BR>消息面多空：6分<BR>財經頭條：<BR>工商時報：日圓強升,台機械訂單增<BR>經濟日報：華航面臨罷工危機<BR>利多：<BR>1. 儒鴻(1476)喊話 Q4業績回溫<BR>2. 鐵礦漲 中鋼(2002)樂觀前景<BR>3. 應華(5392)握新單 Q3業績俏<BR>4. 誠品生(2926) 拚賺一個股本<BR>5. 太陽能新兵 安集(6477)蜜月甜<BR>6. 全新(2455)股東 每股可領4.67元<BR>7. 蓋茲效應 卜蜂(1215)、大成(1210)股漲<BR>8. 宏盛(2534)10案齊發 全年業績看俏<BR>9. 外資連捧 10檔衝鋒<BR>10. 101搶觀光財 跨海到金門開店<BR>利空：<BR>1. 裕國房產推案 延至明年<BR>2. 預期英國選擇留歐 黃金收低19.60美元<BR>3. 索羅斯：脫歐 英鎊恐貶20%<BR>4. 選擇權8,700點 壓力重<BR>5. 輕原油下跌1.05%收48.85美元 市場觀望美庫存數據<BR>註:綜合分數表示意義:<BR>8分以上，暗示行情有過熱疑慮<BR>5分表示行情中性發展<BR>2分以下，暗示行情恐過度悲觀<BR>以上內容由Yahoo!奇摩股市 與 CMoney理財寶 聯合提供",https://tw.stock.yahoo.com/news_content/url/d/a/20160622/%E3%80%90y%E6%97%A9%E5%A0%B1%E3%80%91%E7%A9%BA%E6%9C%8D%E5%93%A1%E5%8F%96%E5%BE%97%E7%BD%B7%E5%B7%A5%E6%AC%8A-%E8%8F%AF%E8%88%AA%E9%9D%A2%E8%87%A8%E7%BD%B7%E5%B7%A5%E5%8D%B1%E6%A9%9F-002518861.html
15092,1466556966693_N01,news,yahoo股市,重大要聞,2016/6/22 08:38:00,《今日焦點新聞》華航面臨罷工危機,時報資訊,時報-今日焦點新聞<BR> 國內頭條：<BR> 1.JDI挖夏普牆角，郭董將一軍。(工商時報)<BR> 2.日圓強升，台機械訂單增。(工商時報)<BR> 3.和碩進入新鐵三角時代。(工商時報)<BR> 4.美展開337調查，華碩、宏達電入列。(工商時報)<BR> 5.廖俊智接任中研院長，結合綠能、生技創產業新局。(工商時報)<BR> 6.葉倫：維持低利率，緩步升息。(中國時報)<BR> 7.華航面臨罷工危機。(經濟日報)<BR> 8.蔡宏圖宣示：第三代不會接董事長。(經濟日報)<BR> 9.高通、聯發科、展訊紛出招，5G晶片前哨戰彌漫火藥味。(電子時報)<BR> 10.華碩、微星、浩鑫、華擎拚轉型，新接班梯隊受矚目。(電子時報)<BR> 大陸頭條：<BR> 1.沃爾瑪入股京東，以「1號店」換取約5%股權。(經濟參考報)<BR> 2.工信部副部長：中國4G用戶達5.3億超歐美總和。(京華時報)<BR> 3.「地王熱」現象頻出，房地產企業資金鏈或面臨風險。(經濟參考報)<BR> 4.油價「五連漲」或落空，汽油回歸「6時代」尚需時日。(經濟參考報)<BR> 5.浙江湖州遭暴雨襲擊，消防官兵救援20多小時在機器旁睡著。(中國新聞網)<BR> 國際頭條：<BR> 1.強化物聯網技術，三星未來4年擬在美國投資約12億美元。﹙路透社﹚<BR> 2.南韓軍方：北韓發射第二枚飛彈，疑似舞水端中程導彈。﹙路透社﹚<BR> 3.英國脫歐機率下降，金價急挫近2%。﹙路透社﹚ <BR> 4.騰訊同意以86億美元收購手遊開發商Supercell。(華爾街日報)<BR> 5.歐盟就打擊公司避稅行為達成新協議。(華爾街日報)<BR> 6.慣例將被打破，最新款iPhone或只進行微調。(華爾街日報)<BR> （編輯整理：林哲生）,https://tw.stock.yahoo.com/news_content/url/d/a/20160622/%E4%BB%8A%E6%97%A5%E7%84%A6%E9%BB%9E%E6%96%B0%E8%81%9E-%E8%8F%AF%E8%88%AA%E9%9D%A2%E8%87%A8%E7%BD%B7%E5%B7%A5%E5%8D%B1%E6%A9%9F-003814864.html
15292,1466681155006_N01,news,yahoo股市,重大要聞,2016/6/23 18:59:00,華航空服宣布 24日零時起罷工,中央社,（中央社記者汪淑芬台北2016年6月23日電）中華航空股份有限公司 (2610) 空服員為主的桃園空服員職業工會今天宣布，明天凌晨零時起罷工，晚間8時於華航台北分公司前舉行記者會宣布。,https://tw.stock.yahoo.com/news_content/url/d/a/20160623/%E8%8F%AF%E8%88%AA%E7%A9%BA%E6%9C%8D%E5%AE%A3%E5%B8%83-24%E6%97%A5%E9%9B%B6%E6%99%82%E8%B5%B7%E7%BD%B7%E5%B7%A5-105915008.html
15318,1466727063202_N01,news,yahoo股市,重大要聞,2016/6/24 07:49:00,經濟頭條~華航大罷工 67班停飛,中央社,以華航空服員為主的桃園市空服員職業工會昨（23）日傍晚宣布自今天凌晨0時起罷工，華航昨天深夜宣布今天上午6時至晚上10時，自桃園與松山兩機場起飛的航班全數取消，預估67航班、2萬名旅客受波及，這是我航空史上首次因罷工造成大規模航班取消。<BR>今天上午蔡英文總統要搭華航專機出訪，加上內定華航新任董事長的何煖軒今日要接任，桃園市空服員職業工會昨天傍晚宣布自今天起罷工，選擇的時機讓交通部、華航資方措手不及，若今天罷工情況未見緩和，航空界人士預估對華航航班的影響還會擴大。~經濟日報2016年 6月24日頭版頭條,https://tw.stock.yahoo.com/news_content/url/d/a/20160623/%E7%B6%93%E6%BF%9F%E9%A0%AD%E6%A2%9D-%E8%8F%AF%E8%88%AA%E5%A4%A7%E7%BD%B7%E5%B7%A5-67%E7%8F%AD%E5%81%9C%E9%A3%9B-234945997.html
