,證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),成交筆數(筆),流通在外股數(千股),本益比-TSE,股價淨值比-TSE
429,2610 華航,2018/12/28,10.9,11,10.8,11,"5,858","64,025","1,644","5,420,984",23.91,1.04
1407,2610 華航,2018/12/27,10.95,11,10.8,10.9,"6,658","72,618","1,512","5,420,984",23.7,1.03
2385,2610 華航,2018/12/26,10.9,10.95,10.85,10.9,"3,823","41,680",910,"5,420,984",23.7,1.03
3363,2610 華航,2018/12/25,11.1,11.1,10.85,10.9,"6,594","72,200","1,535","5,420,984",23.7,1.03
4341,2610 華航,2018/12/24,11.1,11.1,11,11.05,"4,943","54,720","1,512","5,420,984",24.02,1.05
5318,2610 華航,2018/12/22,11.1,11.1,11,11.05,"2,345","25,922",638,"5,420,984",24.02,1.05
6295,2610 華航,2018/12/21,11,11.1,10.9,11.05,"15,163","167,410","2,878","5,420,984",24.02,1.05
7272,2610 華航,2018/12/20,11.1,11.2,10.95,11.05,"10,034","111,384","2,134","5,420,984",24.02,1.05
8249,2610 華航,2018/12/19,11.25,11.3,11.1,11.15,"29,508","330,119","5,487","5,420,984",24.24,1.06
9226,2610 華航,2018/12/18,11,11.2,10.85,10.95,"20,868","229,945","3,968","5,420,984",23.8,1.04
10203,2610 華航,2018/12/17,10.7,11.05,10.7,11,"24,379","267,396","4,527","5,420,984",23.91,1.04
11179,2610 華航,2018/12/14,10.65,10.8,10.55,10.65,"9,748","104,166","2,851","5,420,984",23.15,1.01
12155,2610 華航,2018/12/13,10.6,10.7,10.6,10.7,"7,896","84,300","2,186","5,420,984",23.26,1.01
13131,2610 華航,2018/12/12,10.5,10.6,10.45,10.55,"7,893","83,143","2,206","5,420,984",22.93,1.0
14107,2610 華航,2018/12/11,10.5,10.6,10.4,10.45,"12,326","129,008","2,031","5,420,984",22.72,0.99
15082,2610 華航,2018/12/10,10.65,10.7,10.4,10.5,"12,983","136,476","2,195","5,420,984",22.83,0.99
16056,2610 華航,2018/12/7,10.65,10.85,10.6,10.8,"12,651","135,260","2,484","5,420,984",23.48,1.02
17030,2610 華航,2018/12/6,10.75,10.75,10.3,10.5,"21,524","225,349","3,440","5,420,984",22.83,0.99
18004,2610 華航,2018/12/5,10.65,10.85,10.6,10.75,"10,429","111,701","2,299","5,420,984",23.37,1.02
18978,2610 華航,2018/12/4,10.85,10.95,10.6,10.75,"27,297","293,787","6,027","5,420,984",23.37,1.02
19951,2610 華航,2018/12/3,11.25,11.35,10.8,10.9,"26,504","291,623","4,521","5,420,984",23.7,1.03
20924,2610 華航,2018/11/30,11.15,11.3,10.95,11,"22,027","243,878","3,912","5,420,984",23.91,1.04
21897,2610 華航,2018/11/29,11.2,11.3,11,11.2,"45,945","513,625","8,812","5,420,984",24.35,1.06
22870,2610 華航,2018/11/28,10.4,10.95,10.4,10.95,"71,942","775,307","10,546","5,420,984",23.8,1.04
23843,2610 華航,2018/11/27,10.25,10.3,10.15,10.3,"10,065","103,134","2,180","5,420,984",22.39,0.98
24813,2610 華航,2018/11/26,10.45,10.55,10.15,10.25,"19,909","206,003","3,549","5,420,984",22.28,0.97
25783,2610 華航,2018/11/23,10.1,10.2,10,10.05,"7,216","72,748","2,427","5,420,984",21.85,0.95
26753,2610 華航,2018/11/22,10.25,10.3,10.1,10.15,"7,004","71,009","1,843","5,420,984",22.07,0.96
27723,2610 華航,2018/11/21,10.15,10.25,10.1,10.25,"9,939","101,257","1,572","5,420,984",22.28,0.97
28693,2610 華航,2018/11/20,10.25,10.25,10.1,10.15,"9,421","95,926","1,619","5,420,984",22.07,0.96
29663,2610 華航,2018/11/19,10.3,10.4,10.25,10.3,"11,032","113,679","2,091","5,420,984",22.39,0.98
30633,2610 華航,2018/11/16,10.3,10.35,10.15,10.2,"8,434","86,272","1,734","5,420,984",22.17,0.97
31602,2610 華航,2018/11/15,10.3,10.3,10.1,10.25,"10,933","111,345","2,765","5,420,984",22.28,0.97
32571,2610 華航,2018/11/14,10.05,10.25,10.05,10.2,"22,842","232,172","5,244","5,420,984",22.17,0.97
33540,2610 華航,2018/11/13,9.84,9.95,9.72,9.95,"10,747","105,901","2,769","5,420,984",21.63,0.94
34509,2610 華航,2018/11/12,9.75,9.97,9.73,9.94,"19,610","194,538","4,139","5,420,984",21.61,0.94
35478,2610 華航,2018/11/9,9.8,9.83,9.59,9.65,"12,473","120,569","3,034","5,470,984",20.98,0.91
36447,2610 華航,2018/11/8,9.69,9.91,9.62,9.89,"21,966","214,956","4,532","5,470,984",12.36,0.94
37416,2610 華航,2018/11/7,9.62,9.68,9.56,9.65,"9,670","93,189","2,454","5,470,984",12.06,0.93
38385,2610 華航,2018/11/6,9.61,9.68,9.51,9.6,"9,205","88,277","2,105","5,470,984",12,0.93
39354,2610 華航,2018/11/5,9.44,9.62,9.39,9.57,"19,030","181,402","3,481","5,470,984",11.96,0.92
40323,2610 華航,2018/11/2,9.25,9.45,9.22,9.39,"13,844","129,407","2,208","5,470,984",11.74,0.91
41292,2610 華航,2018/11/1,9.27,9.27,9.16,9.19,"5,918","54,520","1,351","5,470,984",11.49,0.89
42261,2610 華航,2018/10/31,9.1,9.16,9.1,9.16,"6,609","60,444","1,763","5,470,984",11.45,0.88
43230,2610 華航,2018/10/30,9.13,9.13,9.05,9.13,"2,546","23,174",625,"5,470,984",11.41,0.88
44199,2610 華航,2018/10/29,9.04,9.13,9.03,9.07,"4,197","38,125","1,109","5,470,984",11.34,0.88
45168,2610 華航,2018/10/26,9.12,9.16,9,9.04,"10,452","94,538","2,396","5,470,984",11.3,0.87
46137,2610 華航,2018/10/25,9.14,9.16,9.08,9.12,"4,855","44,259","1,647","5,470,984",11.4,0.88
47106,2610 華航,2018/10/24,9.12,9.29,9.1,9.2,"7,834","72,113","3,083","5,470,984",11.5,0.89
48075,2610 華航,2018/10/23,9.12,9.17,9.11,9.12,"3,638","33,225",965,"5,470,984",11.4,0.88
49044,2610 華航,2018/10/22,9.1,9.23,9.07,9.17,"4,542","41,615","1,149","5,470,984",11.46,0.89
50013,2610 華航,2018/10/19,9.05,9.13,9.02,9.1,"9,298","84,504","1,156","5,470,984",11.38,0.88
50982,2610 華航,2018/10/18,9.09,9.17,9.07,9.07,"7,012","63,871","1,601","5,470,984",11.34,0.88
51950,2610 華航,2018/10/17,9.06,9.08,9.02,9.07,"5,632","50,957","2,106","5,470,984",11.34,0.88
52918,2610 華航,2018/10/16,9.02,9.08,9,9.04,"9,608","86,719","2,970","5,470,984",11.3,0.87
53885,2610 華航,2018/10/15,9.07,9.07,9,9.01,"9,930","89,637","2,806","5,470,984",11.26,0.87
54852,2610 華航,2018/10/12,8.98,9.15,8.97,9.07,"11,460","104,006","3,010","5,470,984",11.34,0.88
55819,2610 華航,2018/10/11,9.1,9.16,8.98,8.98,"29,240","264,439","6,681","5,470,984",11.23,0.87
56786,2610 華航,2018/10/9,9.3,9.4,9.26,9.4,"11,851","110,968","6,327","5,470,984",11.75,0.91
57753,2610 華航,2018/10/8,9.36,9.51,9.3,9.3,"16,687","157,284","2,722","5,470,984",11.63,0.9
58720,2610 華航,2018/10/5,9.3,9.4,9.16,9.4,"10,887","101,201","2,407","5,470,984",11.75,0.91
59687,2610 華航,2018/10/4,9.5,9.5,9.28,9.28,"11,678","109,056","3,478","5,470,984",11.6,0.9
60654,2610 華航,2018/10/3,9.39,9.55,9.38,9.45,"22,535","214,052","4,284","5,470,984",11.81,0.91
61621,2610 華航,2018/10/2,9.35,9.4,9.27,9.4,"6,432","60,030","1,775","5,470,984",11.75,0.91
62588,2610 華航,2018/10/1,9.25,9.35,9.25,9.35,"6,587","61,293","1,688","5,470,984",11.69,0.9
63555,2610 華航,2018/9/28,9.26,9.28,9.2,9.25,"12,201","112,656","2,211","5,470,984",11.56,0.89
64521,2610 華航,2018/9/27,9.26,9.29,9.24,9.27,"6,689","62,000","1,991","5,470,984",11.59,0.89
65487,2610 華航,2018/9/26,9.29,9.33,9.26,9.26,"10,062","93,424","1,607","5,470,984",11.58,0.89
66453,2610 華航,2018/9/25,9.3,9.37,9.26,9.29,"6,498","60,520","1,730","5,470,984",11.61,0.9
67419,2610 華航,2018/9/21,9.31,9.34,9.26,9.32,"8,922","83,038","2,043","5,470,984",11.65,0.9
68385,2610 華航,2018/9/20,9.31,9.33,9.28,9.28,"5,171","48,082","1,539","5,470,984",11.6,0.9
69350,2610 華航,2018/9/19,9.27,9.35,9.26,9.27,"6,175","57,466","2,248","5,470,984",11.59,0.89
70315,2610 華航,2018/9/18,9.21,9.29,9.21,9.23,"4,893","45,271","1,412","5,470,984",11.54,0.89
71280,2610 華航,2018/9/17,9.27,9.27,9.21,9.21,"3,545","32,720","1,525","5,470,984",11.51,0.89
72245,2610 華航,2018/9/14,9.28,9.28,9.21,9.27,"5,275","48,737","2,609","5,470,984",11.59,0.89
73210,2610 華航,2018/9/13,9.23,9.23,9.17,9.19,"6,852","62,993","1,652","5,470,984",11.49,0.89
74175,2610 華航,2018/9/12,9.18,9.22,9.13,9.21,"9,879","90,523","2,214","5,470,984",11.51,0.89
75141,2610 華航,2018/9/11,9.16,9.26,9.13,9.18,"11,207","102,887","4,215","5,470,984",11.48,0.89
